Substrate ID,SMILES,sasa_area,sasa_volume,disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,ip,ea,homo,lumo,electrophilicity,nucleophilicity,electrofugality,nucleofugality,dipole_x,dipole_y,dipole_z,mass,radius,charge
149,O=C([C@H]1N(CCC1)C([C@@H]([NH2+][C@@H](CCC2=CC=CC=C2)C([O-])=O)CCCC[NH3+])=O)[O-],,,,,,,,,,,,,,,,,,,,,
150,COC1=CC=C2C(N=C(N2)[S+](O)CC3=C(C(OC)=C(C=[NH+]3)C)C)=C1,,,,,,,,,,,,,,,,,,,,,
151,O=C(C[C@@H](C[C@@H](CCN1C(C2=CC=C(F)C=C2)=C(C(C(NC3=CC=CC=C3)=O)=C1C(C)C)C4=CC=CC=C4)O)O)[O-],,,,,,,,,,,,,,,,,,,,,
152,CCC(C)(C(O[C@@H]1C[C@@H](C=C2C=C[C@H]([C@H]([C@]12[H])CC[C@@H]3C[C@@H](CC(O3)=O)O)C)C)=O)C,,,,,,,,,,,,,,,,,,,,,
153,O=C([C@@H](N1CCC2=C(C1)C=CS2)C3=C(Cl)C=CC=C3)OC,,,,,,,,,,,,,,,,,,,,,
154,[O-]C(CC1(CS[C@@H](C2=CC=CC(/C=C/C3=NC4=C(C=C3)C=CC(Cl)=C4)=C2)CCC5=CC=CC=C5C(C)(C)O)CC1)=O,,,,,,,,,,,,,,,,,,,,,
155,CC(C1=NC(N(S(C)(=O)=O)C)=NC(C2=CC=C(C=C2)F)=C1/C=C/[C@H](C[C@H](CC([O-])=O)O)O)C,,,,,,,,,,,,,,,,,,,,,
156,CC([NH2+]CC(O)COC1=CC=C(CCOC)C=C1)C,,,,,,,,,,,,,,,,,,,,,
157,FC(C=C1)=CC=C1[C@@]2(CCC[NH+](C)C)C3=CC=C(C#N)C=C3CO2,,,,,,,,,,,,,,,,,,,,,
158,CC[C@H]1OC([C@@H]([C@H]([C@@H]([C@H]([C@](O)(C[C@H](C[NH+]([C@@H]([C@H]([C@@]1(O)C)O)C)C)C)C)O[C@@H]2O[C@@H](C[C@H]([NH+](C)C)[C@H]2O)C)C)O[C@H]3C[C@@](OC)([C@H]([C@@H](O3)C)O)C)C)=O,,,,,,,,,,,,,,,,,,,,,
159,CC([NH2+]CC(O)C1=CC(CO)=C(C=C1)O)(C)C,,,,,,,,,,,,,,,,,,,,,
160,NS(=O)(C1=C(C=C2NCNS(=O)(C2=C1)=O)Cl)=O,,,,,,,,,,,,,,,,,,,,,
161,CN(C(NC(N)=[NH2+])=N)C,,,,,,,,,,,,,,,,,,,,,
162,C[NH2+][C@H]1CC[C@H](C2=CC=CC=C21)C3=CC(Cl)=C(Cl)C=C3,,,,,,,,,,,,,,,,,,,,,
163,CC(CC1=CC=C([C@@H](C([O-])=O)C)C=C1)C,,,,,,,,,,,,,,,,,,,,,
164,O=C(CC1=C(N=C2C=CC(C)=CN21)C3=CC=C(C)C=C3)N(C)C,,,,,,,,,,,,,,,,,,,,,
165,O=C(C1=C(NCC2=CC=CO2)C=C(Cl)C(S(=O)(N)=O)=C1)[O-],,,,,,,,,,,,,,,,,,,,,
166,O=S(CC1=[NH+]C=C(C(OC)=C1C)C)C2=NC3=C(N2)C=CC(OC)=C3,,,,,,,,,,,,,,,,,,,,,
167,O=C1N(N=C2C=CC=CN21)CCCN3CCN(CC3)C4=CC(Cl)=CC=C4,,,,,,,,,,,,,,,,,,,,,
168,CC([C@H](N(CC1=CC=C(C2=C(C3=NN=N[N-]3)C=CC=C2)C=C1)C(CCCC)=O)C([O-])=O)C,,,,,,,,,,,,,,,,,,,,,
169,O[C@]1([C@H](CCCC1)C[NH+](C)C)C2=CC(OC)=CC=C2,,,,,,,,,,,,,,,,,,,,,
170,C[NH2+]CC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C23,,,,,,,,,,,,,,,,,,,,,
171,O=C(OC1=CC=CC=C12)C([C@@H](C3=CC=CC=C3)CC(C)=O)=C2[O-],,,,,,,,,,,,,,,,,,,,,
172,O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[NH3+],,,,,,,,,,,,,,,,,,,,,
173,COC(C1=C2[C@@]34[C@H]5O1)=CC=C2C[C@@H]([N@@H+](CC4)C)[C@]3(O)CCC5=O,,,,,,,,,,,,,,,,,,,,,
174,OCCOCCN1CCN(C2=NC3=CC=CC=C3SC4=CC=CC=C24)CC1,,,,,,,,,,,,,,,,,,,,,
175,C[C@@H](CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)[NH+](C)C,,,,,,,,,,,,,,,,,,,,,
176,C[C@@]12[C@@](C(SCF)=O)([C@@H](C[C@]1([C@@]3(C[C@@H](C4=CC(C=C[C@@]4([C@]3([C@H](C2)O)F)C)=O)F)[H])[H])C)OC(CC)=O,,,,,,,,,,,,,,,,,,,,,
177,CC1=NN=C2N1C3=C(C(C4=CC=CC=C4)=NC2)C=C(Cl)C=C3,,,,,,,,,,,,,,,,,,,,,
178,O=C1NC2=C(C(C3=C(Cl)C=CC=C3)=NC1)C=C([N+]([O-])=O)C=C2,,,,,,,,,,,,,,,,,,,,,
179,O=C(CN1C([C@H](CCC2=C1C=CC=C2)N[C@@H](CCC3=CC=CC=C3)C(OCC)=O)=O)[O-],,,,,,,,,,,,,,,,,,,,,
180,[O-]C1=C(C(NC2=NC=C(C)S2)=O)N(C)S(C3=C1C=CC=C3)(=O)=O,,,,,,,,,,,,,,,,,,,,,
181,C[NH+](CCC[C@]1(C2=CC=C(C=C2)F)OCC3=C1C=CC(C#N)=C3)C,,,,,,,,,,,,,,,,,,,,,
182,CC1=C(N2[C@]([H])(SC1)[C@@H](C2=O)NC([C@@H](C3=CC=CC=C3)N)=O)C([O-])=O,,,,,,,,,,,,,,,,,,,,,
183,[H][C@]12O[C@]1([C@@]3(C[C@@](C[C@]2([N+]3(C)C)[H])(OC(C(C4=CC=CS4)(C5=CC=CS5)O)=O)[H])[H])[H],,,,,,,,,,,,,,,,,,,,,
184,O=C(CC1(CCCCC1)C[NH3+])[O-],,,,,,,,,,,,,,,,,,,,,
185,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C(CCC(N4)=O)C4=C3)CC2)=C1Cl,,,,,,,,,,,,,,,,,,,,,
186,C[NH+](CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C13)C,,,,,,,,,,,,,,,,,,,,,
187,O=C1C=C[C@]2(C)[C@@]3([H])[C@@H](O)C[C@]4(C)[C@](C(CO)=O)(O)CC[C@@]4([H])[C@]3([H])C[C@H](C)C2=C1,,,,,,,,,,,,,,,,,,,,,
188,O=C(OC)[C@H]([C@]1([H])CCCC[NH2+]1)C2=CC=CC=C2,,,,,,,,,,,,,,,,,,,,,
